Columna1,Solute_ID,Formula,Solute_Mol_Mass,Num_Cations,Num_Anions,Cation,Anion,Num_Particles,Cation_Charge,Anion_Charge,Temperature_K,Solvent_Name,Solvent_Mol_Mass,Molal,Salt_Mole_Fraction,Ion_Mole_Fraction,Solvent_Mole_Fraction,Molar,Logarithmic_Concentration,Weight_Percent,Mass_Ratio,Ionic_Strength,Molal_Activity_Coefficient,MAC_Num_Sig_Figs,Osmotic_Coefficient,OC_Num_Sig_Figs,Rational_Activity_Coefficient,Rational_Coefficient,Solvent_Activity
2,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,0.3,0.005375531,0.010693,0.989307,,0.596747926,0.036954,0.038372,0.3,0.811,3,0.984,3,0.819766,0.989341881,0.989420362
3,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,0.4,0.007154555,0.014207,0.985793,,0.794263845,0.048673,0.051163,0.4,0.823,3,1.001,4,0.834861,1.008254621,0.98567657
4,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,0.5,0.008927227,0.017696,0.982304,,0.991072369,0.06011,0.063955,0.5,0.839,3,1.019,4,0.854115,1.02820327,0.981809482
5,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,0.6,0.010693579,0.02116,0.97884,,1.187163446,0.071275,0.076746,0.6,0.86,3,1.038,4,0.878592,1.0492315,0.977809904
6,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,0.7,0.012453647,0.0246,0.9754,,1.382583879,0.082178,0.089537,0.7,0.883,3,1.057,4,0.90527,1.070314353,0.973693214
7,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,0.8,0.014207463,0.028016,0.971984,,1.577324114,0.092829,0.102328,0.8,0.908,3,1.075,4,0.934173,1.090444477,0.969489146
8,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,0.9,0.015955061,0.031408,0.968592,,1.771374544,0.103234,0.115119,0.9,0.935,3,1.094,4,0.96532,1.111688801,0.965145897
9,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,1,0.017696473,0.034777,0.965223,,1.964783021,0.113404,0.12791,1,0.963,3,1.113,4,0.997697,1.132949155,0.960691444
10,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,1.2,0.021160873,0.041444,0.958556,,2.349521827,0.133067,0.153491,1.2,1.027,4,1.153,4,1.071404,1.177774334,0.951370217
11,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,1.4,0.024600922,0.04802,0.95198,,2.731639631,0.151876,0.179074,1.4,1.098,4,1.193,4,1.153386,1.222850396,0.941596914
12,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,1.6,0.028016877,0.054506,0.945494,,3.111122156,0.169887,0.204656,1.6,1.175,4,1.233,4,1.242737,1.268222485,0.931386447
13,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,1.8,0.031408989,0.060905,0.939095,,3.488074203,0.187149,0.230238,1.8,1.26,4,1.273,4,1.341717,1.31384143,0.920756191
14,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,2,0.034777507,0.067217,0.932783,,3.862426132,0.203707,0.25582,2,1.356,4,1.315,4,1.453715,1.361832984,0.90959121
15,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,2.5,0.043097181,0.082633,0.917367,,4.787473117,0.242295,0.319774,2.5,1.641,4,1.424,4,1.788815,1.487217011,0.87961673
16,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,3,0.051274658,0.097547,0.902453,,5.69731182,0.277315,0.38373,3,2.015,4,1.535,4,2.232805,1.616554499,0.847113153
0,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,0.1,0.001798288,0.00359,0.99641,,0.199633839,0.009946,0.010045,0.1,0.803,3,0.947,3,0.805893,0.948710805,0.996593814
1,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,0.2,0.003590121,0.007154,0.992846,,0.398534609,0.019696,0.020092,0.2,0.778,3,0.951,3,0.783606,0.954495036,0.993170428
2,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,0.3,0.005375531,0.010693,0.989307,,0.596747926,0.029256,0.030138,0.3,0.768,3,0.958,3,0.776301,0.963203759,0.989698428
3,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,0.4,0.007154555,0.014207,0.985793,,0.794263845,0.038631,0.040184,0.4,0.766,3,0.966,3,0.77704,0.972961866,0.986174463
4,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,0.5,0.008927227,0.017696,0.982304,,0.991072369,0.047827,0.050229,0.5,0.769,3,0.976,3,0.782854,0.984796715,0.982570679
5,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,0.6,0.010693579,0.02116,0.97884,,1.187163446,0.056849,0.060276,0.6,0.776,3,0.988,3,0.792776,0.99868697,0.978867488
6,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,0.7,0.012453647,0.0246,0.9754,,1.382583879,0.065701,0.070321,0.7,0.785,3,1,4,0.804799,1.012581053,0.975094392
7,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,0.8,0.014207463,0.028016,0.971984,,1.577324114,0.074389,0.080368,0.8,0.795,3,1.013,4,0.817915,1.027557229,0.971223172
8,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,0.9,0.015955061,0.031408,0.968592,,1.771374544,0.082917,0.090413,0.9,0.808,3,1.026,4,0.834201,1.042592121,0.967276392
9,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,1,0.017696473,0.034777,0.965223,,1.964783021,0.091289,0.10046,1,0.823,3,1.041,4,0.852653,1.059664279,0.963186712
